artists;track_name;year;track_genre;popularity;duration_ms
Gen Hoshino;Comedy;2008;acoustic;73;230666
Ben Woodward;Ghost - Acoustic;1999;acoustic;55;149610
"Ingrid Michaelson;ZAYN";To Begin Again;2026;acoustic;57;210826
Kina Grannis;Can't Help Falling In Love;2017;acoustic;71;201933
Chord Overstreet;Hold On;2017;acoustic;82;198853
Tyrone Wells;Days I Will Remember;2026;acoustic;58;214240
"A Great Big World;Christina Aguilera";Say Something;2025;acoustic;74;229400
Jason Mraz;I'm Yours;2005;acoustic;80;242946
"Jason Mraz;Colbie Caillat";Lucky;2016;acoustic;74;189613
Ross Copperman;Hunger;2022;acoustic;56;205594
Zack Tabudlo;Give Me Your Forever;2025;acoustic;74;244800
Jason Mraz;I Won't Give Up;2013;acoustic;69;240165
Dan Berk;Solo;2001;acoustic;52;198712
Anna Hamilton;Bad Liar;2010;acoustic;62;248448
"Chord Overstreet;Deepend";Hold On - Remix;2007;acoustic;56;188133
Landon Pigg;Falling in Love at a Coffee Shop;2000;acoustic;58;244986
"Andrew Foy;Renee Foy";ily (i love you baby);1998;acoustic;56;129750
"Andrew Foy;Renee Foy";At My Worst;2022;acoustic;54;169728
"Jason Mraz;Colbie Caillat";Lucky;2005;acoustic;68;189613
"Boyce Avenue;Bea Miller";Photograph;2017;acoustic;67;260186
Jason Mraz;I'm Yours;2020;acoustic;75;242946
"Boyce Avenue;Jennel Garcia";Demons;2013;acoustic;63;174174
"A Great Big World;Christina Aguilera";Say Something;2007;acoustic;70;229400
Jason Mraz;93 Million Miles;2026;acoustic;0;216386
Jason Mraz;Unlonely;2005;acoustic;0;231266
Jason Mraz;Bella Luna;2013;acoustic;1;302346
Jason Mraz;Winter Wonderland;2003;acoustic;0;131760
Jason Mraz;If It Kills Me;2021;acoustic;0;273653
Jason Mraz;Winter Wonderland;2006;acoustic;0;131760
Jason Mraz;Winter Wonderland;2014;acoustic;0;131760
Jason Mraz;Winter Wonderland;2018;acoustic;0;131760
